isSolution;discardedSolutions;timeFirstSolution;timeQuery;timeAStar;timeTotal;solution
true;0;0;214;0;252;root&http://acg.ual.es/wookie/widgets/map07
true;0;0;217;0;225;root&http://acg.ual.es/wookie/widgets/map07
true;0;1;74;1;78;root&http://acg.ual.es/wookie/widgets/map04
true;0;0;43;0;45;root&http://acg.ual.es/wookie/widgets/map13
true;0;0;31;0;33;root&http://acg.ual.es/wookie/widgets/map01
true;0;1;26;1;31;root&http://acg.ual.es/wookie/widgets/map02
true;0;0;46;0;49;root&http://acg.ual.es/wookie/widgets/map08
true;0;0;31;0;37;root&http://acg.ual.es/wookie/widgets/map17
true;0;1;42;1;46;root&http://acg.ual.es/wookie/widgets/map02
true;0;1;35;1;39;root&http://acg.ual.es/wookie/widgets/map13
true;6;3;194;4;220;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/histogram09
true;14;2;259;6;281;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/histogram09
true;8;3;142;4;154;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/histogram09
true;7;2;76;3;82;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/histogram09
true;0;2;57;2;67;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/histogram09
true;15;3;67;6;81;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/histogram09
true;15;2;73;6;82;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/histogram09
true;14;2;68;6;77;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/histogram09
true;15;2;68;6;77;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/histogram09
true;8;3;68;5;81;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/histogram09
true;12;5;257;8;291;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header15&http://acg.ual.es/wookie/widgets/histogram09
true;3;5;273;6;290;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header19&http://acg.ual.es/wookie/widgets/histogram09
